timestamp,cpu_usage,cpu_freq_mhz,ram_usage,available_ram
2025-02-01 16:49:12,4.3,700.0,46.2,228
2025-02-01 16:49:14,0.3,600.0,47.2,224
2025-02-01 16:49:16,38.0,1000.0,46.3,228
2025-02-01 16:49:18,3.9,700.0,46.3,228
2025-02-01 16:49:20,0.0,600.0,47.0,225
2025-02-01 16:49:22,34.2,1000.0,46.2,228
2025-02-01 16:49:24,2.8,600.0,46.6,227
2025-02-01 16:49:26,1.3,600.0,48.3,220
2025-02-01 16:49:28,54.7,1000.0,46.5,227
2025-02-01 16:49:30,1.8,600.0,46.9,226
2025-02-01 16:49:32,26.7,1000.0,46.5,227
2025-02-01 16:49:34,30.1,1000.0,46.5,227
2025-02-01 16:49:36,1.3,600.0,47.8,222
2025-02-01 16:49:38,86.2,1000.0,46.7,226
2025-02-01 16:49:40,30.3,600.0,47.0,225
2025-02-01 16:49:42,1.3,600.0,48.4,219
2025-02-01 16:49:44,67.4,1000.0,46.8,226
2025-02-01 16:49:46,16.3,1000.0,47.2,224
2025-02-01 16:49:48,30.1,1000.0,46.8,226
2025-02-01 16:49:50,32.4,700.0,46.8,226
2025-02-01 16:49:52,1.0,600.0,47.8,222
2025-02-01 16:49:54,45.5,1000.0,46.9,226
2025-02-01 16:49:56,35.8,1000.0,47.2,224
2025-02-01 16:49:58,1.0,600.0,48.3,220
2025-02-01 16:50:00,89.3,1000.0,47.2,224
2025-02-01 16:50:02,7.5,600.0,47.7,222
2025-02-01 16:50:04,1.3,600.0,48.9,217
2025-02-01 16:50:06,71.7,1000.0,47.4,223
2025-02-01 16:50:08,1.3,600.0,48.1,221
2025-02-01 16:50:10,35.6,1000.0,47.4,223
2025-02-01 16:50:12,6.7,600.0,47.5,223
2025-02-01 16:50:14,0.8,600.0,48.6,218
2025-02-01 16:50:16,83.4,1000.0,47.5,223
2025-02-01 16:50:18,19.8,1000.0,47.7,222
2025-02-01 16:50:20,1.5,600.0,49.5,214
2025-02-01 16:50:22,86.0,1000.0,47.5,223
2025-02-01 16:50:24,13.4,600.0,48.0,221
2025-02-01 16:50:26,3.9,600.0,47.5,223
2025-02-01 16:50:28,43.3,1000.0,46.5,227
2025-02-01 16:50:30,0.0,600.0,47.3,224
2025-02-01 16:50:32,45.5,1000.0,46.7,227
2025-02-01 16:50:34,9.0,600.0,46.9,225
2025-02-01 16:50:36,1.5,600.0,48.2,220
2025-02-01 16:50:38,75.3,1000.0,46.9,226
2025-02-01 16:50:40,42.6,1000.0,47.0,225
2025-02-01 16:50:42,1.8,600.0,48.8,217
2025-02-01 16:50:44,72.5,1000.0,47.0,225
2025-02-01 16:50:46,49.5,1000.0,47.5,223
2025-02-01 16:50:48,1.5,600.0,48.6,218
2025-02-01 16:50:50,41.2,1000.0,47.2,224
2025-02-01 16:50:52,9.3,600.0,47.5,223
2025-02-01 16:50:54,26.3,1000.0,47.3,224
2025-02-01 16:50:57,17.1,1000.0,47.3,224
2025-02-01 16:50:59,0.8,600.0,48.1,220
2025-02-01 16:51:01,75.4,1000.0,47.6,222
2025-02-01 16:51:03,42.2,1000.0,48.0,221
2025-02-01 16:51:05,1.3,600.0,49.2,216
2025-02-01 16:51:07,82.1,1000.0,47.7,222
2025-02-01 16:51:09,15.9,600.0,48.0,221
2025-02-01 16:51:11,1.3,600.0,49.6,214
2025-02-01 16:51:13,50.3,1000.0,47.7,222
2025-02-01 16:51:15,0.5,600.0,48.4,219
2025-02-01 16:51:17,42.6,1000.0,47.7,222
2025-02-01 16:51:19,6.5,600.0,47.7,222
2025-02-01 16:51:21,1.5,600.0,48.7,218
2025-02-01 16:51:23,88.4,1000.0,47.7,222
2025-02-01 16:51:25,2.5,600.0,47.9,221
2025-02-01 16:51:27,0.5,700.0,49.0,216
2025-02-01 16:51:29,70.7,1000.0,47.8,222
2025-02-01 16:51:31,0.5,600.0,48.2,220
2025-02-01 16:51:33,22.7,1000.0,47.9,221
2025-02-01 16:51:35,20.7,700.0,47.9,221
2025-02-01 16:51:37,1.3,600.0,48.7,218
2025-02-01 16:51:39,74.4,1000.0,48.0,221
2025-02-01 16:51:41,11.9,1000.0,48.4,219
2025-02-01 16:51:43,0.5,600.0,49.1,216
2025-02-01 16:51:45,89.7,1000.0,48.3,219
2025-02-01 16:51:47,22.9,700.0,48.5,219
2025-02-01 16:51:49,0.3,600.0,49.4,215
2025-02-01 16:51:51,69.4,1000.0,47.1,225
2025-02-01 16:51:53,0.3,600.0,47.8,222
2025-02-01 16:51:55,17.3,1000.0,47.2,224
2025-02-01 16:51:57,20.4,1000.0,46.4,228
2025-02-01 16:51:59,1.0,600.0,47.1,225
2025-02-01 16:52:01,61.6,1000.0,46.4,228
2025-02-01 16:52:03,1.3,700.0,46.7,226
2025-02-01 16:52:05,1.5,600.0,47.4,223
