timestamp,cpu_usage,cpu_freq_mhz,ram_usage,available_ram
2025-02-01 17:03:48,3.6,600.0,45.9,230
2025-02-01 17:03:50,0.8,600.0,46.5,227
2025-02-01 17:03:52,61.6,1000.0,46.0,230
2025-02-01 17:03:54,1.3,1000.0,46.1,229
2025-02-01 17:03:56,1.0,600.0,47.7,222
2025-02-01 17:03:58,8.9,700.0,46.0,229
2025-02-01 17:04:00,1.8,600.0,46.7,227
2025-02-01 17:04:02,26.9,1000.0,46.1,229
2025-02-01 17:04:04,1.0,600.0,46.3,228
2025-02-01 17:04:06,1.3,600.0,47.4,223
2025-02-01 17:04:08,41.8,1000.0,46.2,228
2025-02-01 17:04:10,1.5,600.0,46.9,226
2025-02-01 17:04:12,41.1,1000.0,46.2,228
2025-02-01 17:04:14,30.6,1000.0,46.4,228
2025-02-01 17:04:16,1.0,600.0,47.3,224
2025-02-01 17:04:18,86.4,1000.0,46.3,228
2025-02-01 17:04:20,32.3,1000.0,46.5,227
2025-02-01 17:04:22,1.0,600.0,47.8,222
2025-02-01 17:04:24,81.4,1000.0,46.6,227
2025-02-01 17:04:26,5.4,600.0,46.9,226
2025-02-01 17:04:28,7.6,700.0,46.6,227
2025-02-01 17:04:30,4.1,600.0,46.6,227
2025-02-01 17:04:32,1.3,600.0,47.7,222
2025-02-01 17:04:34,53.7,1000.0,46.6,227
2025-02-01 17:04:36,2.0,600.0,47.1,225
2025-02-01 17:04:38,0.8,700.0,48.4,219
2025-02-01 17:04:40,3.6,600.0,46.7,226
2025-02-01 17:04:42,2.0,600.0,47.8,222
2025-02-01 17:04:44,87.5,1000.0,46.7,227
2025-02-01 17:04:46,1.3,600.0,47.0,225
2025-02-01 17:04:48,1.0,700.0,49.0,217
2025-02-01 17:04:50,82.1,1000.0,46.7,226
2025-02-01 17:04:52,14.5,600.0,47.3,224
2025-02-01 17:04:54,4.6,1000.0,46.8,226
2025-02-01 17:04:56,40.5,1000.0,46.8,226
2025-02-01 17:04:58,0.8,700.0,47.8,222
2025-02-01 17:05:00,37.7,1000.0,46.8,226
2025-02-01 17:05:02,14.4,800.0,46.9,226
2025-02-01 17:05:04,1.3,600.0,48.1,221
2025-02-01 17:05:06,82.1,1000.0,46.8,226
2025-02-01 17:05:08,26.5,1000.0,46.9,226
2025-02-01 17:05:10,1.5,600.0,48.2,220
2025-02-01 17:05:12,84.3,1000.0,46.8,226
2025-02-01 17:05:14,19.3,600.0,47.4,224
2025-02-01 17:05:16,1.8,600.0,48.8,218
2025-02-01 17:05:18,59.0,1000.0,46.8,226
2025-02-01 17:05:20,7.1,1000.0,46.1,229
2025-02-01 17:05:22,41.7,1000.0,45.7,231
2025-02-01 17:05:24,18.2,600.0,45.7,230
2025-02-01 17:05:26,0.5,600.0,46.5,227
2025-02-01 17:05:28,53.3,1000.0,45.8,230
2025-02-01 17:05:30,36.2,1000.0,46.0,229
2025-02-01 17:05:32,0.8,600.0,46.5,227
2025-02-01 17:05:34,81.0,1000.0,45.9,230
2025-02-01 17:05:36,57.2,1000.0,46.2,229
2025-02-01 17:05:38,1.5,700.0,47.2,224
2025-02-01 17:05:40,62.0,1000.0,46.0,230
2025-02-01 17:05:42,0.8,600.0,46.6,227
2025-02-01 17:05:44,15.1,1000.0,46.0,230
2025-02-01 17:05:46,24.5,1000.0,46.0,229
2025-02-01 17:05:48,1.0,600.0,46.7,226
2025-02-01 17:05:50,73.3,1000.0,46.0,229
2025-02-01 17:05:52,4.1,1000.0,46.3,228
2025-02-01 17:05:54,0.5,600.0,47.1,225
2025-02-01 17:05:56,89.9,1000.0,46.2,229
2025-02-01 17:05:58,20.9,600.0,46.4,227
2025-02-01 17:06:00,1.8,700.0,48.2,220
2025-02-01 17:06:02,61.8,1000.0,46.2,228
2025-02-01 17:06:04,1.0,600.0,46.7,226
2025-02-01 17:06:06,32.9,1000.0,46.2,228
2025-02-01 17:06:08,13.0,1000.0,46.3,228
2025-02-01 17:06:10,1.0,600.0,46.8,226
2025-02-01 17:06:12,86.5,1000.0,46.3,228
2025-02-01 17:06:14,15.3,1000.0,46.6,227
2025-02-01 17:06:16,1.0,600.0,47.4,223
2025-02-01 17:06:18,87.8,1000.0,46.4,228
2025-02-01 17:06:20,29.8,600.0,46.7,226
2025-02-01 17:06:22,0.5,600.0,46.5,227
2025-02-01 17:06:24,51.3,1000.0,46.5,227
2025-02-01 17:06:26,1.0,600.0,47.1,225
2025-02-01 17:06:28,29.6,1000.0,46.5,227
2025-02-01 17:06:30,17.5,700.0,46.7,226
2025-02-01 17:06:32,0.8,600.0,47.3,224
2025-02-01 17:06:34,90.9,1000.0,46.7,226
