timestamp,cpu_usage,cpu_freq_mhz,ram_usage,available_ram
2025-02-01 16:59:52,1.8,700.0,46.3,228
2025-02-01 16:59:54,0.5,600.0,47.0,225
2025-02-01 16:59:56,17.7,1000.0,46.3,228
2025-02-01 16:59:58,2.1,600.0,46.7,227
2025-02-01 17:00:00,2.8,600.0,47.2,224
2025-02-01 17:00:02,7.0,1000.0,46.5,227
2025-02-01 17:00:04,1.5,700.0,47.3,224
2025-02-01 17:00:06,37.1,1000.0,46.5,227
2025-02-01 17:00:08,1.3,600.0,46.9,226
2025-02-01 17:00:10,2.0,600.0,47.8,222
2025-02-01 17:00:12,3.1,600.0,46.6,227
2025-02-01 17:00:14,1.0,600.0,46.9,225
2025-02-01 17:00:16,28.1,1000.0,46.6,227
2025-02-01 17:00:18,1.5,600.0,46.8,226
2025-02-01 17:00:20,0.5,600.0,47.6,223
2025-02-01 17:00:22,37.1,1000.0,46.7,226
2025-02-01 17:00:24,1.3,600.0,47.0,225
2025-02-01 17:00:26,59.3,1000.0,46.8,226
2025-02-01 17:00:28,2.0,700.0,47.0,225
2025-02-01 17:00:30,1.3,600.0,48.4,219
2025-02-01 17:00:32,89.8,1000.0,47.0,225
2025-02-01 17:00:34,1.0,600.0,47.3,224
2025-02-01 17:00:36,20.8,1000.0,47.1,225
2025-02-01 17:00:38,36.4,1000.0,47.1,225
2025-02-01 17:00:40,1.0,600.0,47.9,221
2025-02-01 17:00:42,61.8,1000.0,47.1,225
2025-02-01 17:00:44,21.5,1000.0,47.3,224
2025-02-01 17:00:46,1.5,600.0,47.8,222
2025-02-01 17:00:48,87.8,1000.0,47.2,224
2025-02-01 17:00:50,22.6,700.0,47.5,223
2025-02-01 17:00:52,0.8,600.0,48.4,219
2025-02-01 17:00:54,73.8,1000.0,47.2,224
2025-02-01 17:00:56,0.8,600.0,47.8,222
2025-02-01 17:00:58,10.0,800.0,47.2,224
2025-02-01 17:01:00,25.1,1000.0,47.3,224
2025-02-01 17:01:02,0.3,600.0,47.8,222
2025-02-01 17:01:04,54.3,1000.0,47.3,224
2025-02-01 17:01:06,19.7,1000.0,47.6,222
2025-02-01 17:01:08,1.8,600.0,48.8,217
2025-02-01 17:01:10,88.9,1000.0,47.2,224
2025-02-01 17:01:12,2.5,600.0,47.5,223
2025-02-01 17:01:14,1.8,600.0,49.5,214
2025-02-01 17:01:16,64.3,1000.0,47.4,223
2025-02-01 17:01:18,0.8,600.0,48.3,220
2025-02-01 17:01:20,38.5,1000.0,47.5,223
2025-02-01 17:01:22,21.8,600.0,47.6,223
2025-02-01 17:01:24,1.0,700.0,48.9,217
2025-02-01 17:01:26,69.7,1000.0,47.6,222
2025-02-01 17:01:28,25.2,1000.0,46.8,226
2025-02-01 17:01:30,1.8,600.0,48.6,218
2025-02-01 17:01:32,75.1,1000.0,46.7,227
2025-02-01 17:01:34,49.6,1000.0,47.1,225
2025-02-01 17:01:36,1.3,600.0,49.3,215
2025-02-01 17:01:38,59.0,1000.0,46.9,225
2025-02-01 17:01:40,22.1,1000.0,47.7,222
2025-02-01 17:01:42,44.9,1000.0,47.0,225
2025-02-01 17:01:45,21.8,600.0,47.1,225
2025-02-01 17:01:47,0.5,700.0,48.5,219
2025-02-01 17:01:49,61.2,1000.0,47.2,224
2025-02-01 17:01:51,26.8,1000.0,47.4,224
2025-02-01 17:01:53,1.3,600.0,48.8,217
2025-02-01 17:01:55,81.5,1000.0,47.3,224
2025-02-01 17:01:57,30.0,800.0,47.8,222
2025-02-01 17:01:59,0.8,600.0,49.8,213
2025-02-01 17:02:01,73.7,1000.0,47.3,224
2025-02-01 17:02:03,26.7,1000.0,47.8,222
2025-02-01 17:02:05,8.2,700.0,47.4,223
2025-02-01 17:02:07,36.6,1000.0,47.4,223
2025-02-01 17:02:09,0.3,600.0,48.4,219
2025-02-01 17:02:11,44.0,1000.0,47.4,223
2025-02-01 17:02:13,18.5,1000.0,47.6,223
2025-02-01 17:02:15,0.5,600.0,48.9,217
2025-02-01 17:02:17,84.2,1000.0,47.6,223
2025-02-01 17:02:19,24.9,1000.0,47.8,222
2025-02-01 17:02:21,1.3,600.0,49.3,215
2025-02-01 17:02:23,86.1,1000.0,47.6,223
2025-02-01 17:02:25,22.4,600.0,47.8,222
2025-02-01 17:02:27,0.8,600.0,49.6,214
2025-02-01 17:02:29,58.2,1000.0,47.6,223
2025-02-01 17:02:31,1.0,600.0,48.3,219
2025-02-01 17:02:33,27.0,1000.0,47.6,223
2025-02-01 17:02:35,8.5,1000.0,47.7,222
2025-02-01 17:02:37,0.5,700.0,48.8,217
2025-02-01 17:02:39,77.5,1000.0,47.7,222
2025-02-01 17:02:41,25.9,1000.0,48.0,221
2025-02-01 17:02:43,1.3,600.0,49.9,213
